team_id,team_name,player_name,fg_id_x,position,salary,player_type,OTTONEUID,IDFANGRAPHS,fg_id_y,Name,FPTS
4058,Cat & Kaboom,Ronny Mauricio,33640,2B/3B,1,hitters,33640,23698,23698,Ronny Mauricio,124.7
4058,Cat & Kaboom,Ke'Bryan Hayes,18548,3B,1,hitters,18548,18577,18577,Ke'Bryan Hayes,479.9
4058,Cat & Kaboom,Logan O'Hoppe,35181,C,1,hitters,35181,24729,24729,Logan O'Hoppe,480.5
4058,Cat & Kaboom,Kyle Isbel,33686,OF,1,hitters,33686,21614,21614,Kyle Isbel,452.1
4179,Bartolo's Meatballs,Juan Soto,23717,OF,76,hitters,23717,20123,20123,Juan Soto,1178.5
4179,Bartolo's Meatballs,José Ramírez,18284,3B,52,hitters,18284,13510,13510,José Ramírez,882.7
4179,Bartolo's Meatballs,Trea Turner,18368,SS,44,hitters,18368,16252,16252,Trea Turner,768.6
4179,Bartolo's Meatballs,Seiya Suzuki,40927,OF,30,hitters,40927,30116,30116,Seiya Suzuki,783.8
4179,Bartolo's Meatballs,James Wood,40188,OF,22,hitters,40188,29518,29518,James Wood,844.1
4179,Bartolo's Meatballs,Brice Turang,33634,2B,10,hitters,33634,22186,22186,Brice Turang,701.1
4179,Bartolo's Meatballs,Michael Busch,37841,1B,9,hitters,37841,26319,26319,Michael Busch,745.4
4179,Bartolo's Meatballs,Lawrence Butler,34788,OF,8,hitters,34788,22542,22542,Lawrence Butler,696.3
4179,Bartolo's Meatballs,Brenton Doyle,36803,OF,7,hitters,36803,25479,25479,Brenton Doyle,623.3
4179,Bartolo's Meatballs,Colson Montgomery,40262,SS/3B,7,hitters,40262,29712,29712,Colson Montgomery,622.9
4179,Bartolo's Meatballs,Ben Rice,40255,C/1B,6,hitters,40255,29576,29576,Ben Rice,710.0
4179,Bartolo's Meatballs,Travis Bazzana,45709,2B,6,hitters,45709,sa3025129,sa3025129,Travis Bazzana,212.4
4179,Bartolo's Meatballs,Kyle Manzardo,40508,1B,6,hitters,40508,29794,29794,Kyle Manzardo,551.8
4179,Bartolo's Meatballs,Zach McKinstry,33147,SS/3B/OF,4,hitters,33147,19392,19392,Zach McKinstry,447.9
4179,Bartolo's Meatballs,Bryce Eldridge,44147,1B,4,hitters,44147,33390,33390,Bryce Eldridge,417.1
