playerid,PlayerName,G,GS,IP,SV,HLD,FPTS,Team,season,stats,role
27914,Daniel Palencia,67.0,0.0,67.0,29.885,4.4587,475.2,CHC,2026,pit,RP
31461,Ben Joyce,48.0,0.0,48.0,10.419,0.4355,288.30000000000007,LAA,2026,pit,RP
sa3034986,Gage Jump,8.1,8.1,46.17,0.0,0.0,153.10000000000008,ATH,2026,pit,SP
21461,Cole Sands,68.0,0.0,68.0,1.898,13.3896,364.4000000000001,MIN,2026,pit,RP
11861,Jason Adam,60.0,0.0,60.0,1.077,14.861,347.29999999999995,SDP,2026,pit,RP
25890,Bryan King,67.0,0.0,67.0,1.07,16.6581,368.2,HOU,2026,pit,RP
19876,Kevin Ginkel,62.0,0.0,62.0,11.679,10.8157,396.8,ARI,2026,pit,RP
25942,Andrew Nardi,56.0,0.0,56.0,0.0,9.8362,305.70000000000005,MIA,2026,pit,RP
22717,Angel Zerpa,60.0,0.0,60.0,0.0,11.5103,324.2,MIL,2026,pit,RP
16122,Jordan Romano,63.0,0.0,63.0,3.126,11.6732,332.6000000000001,LAA,2026,pit,RP
12317,Colin Rea,44.1,8.1,80.6363,0.0,0.7209,298.99999999999994,CHC,2026,pit,RP
