team_id,team_name,player_name,fg_id,position,salary,player_type
4105,Titty City,Bryan Woo,41042,SP,13,pitchers
4105,Titty City,Kyle Bradish,35874,SP,10,pitchers
4105,Titty City,Spencer Schwellenbach,42737,SP,9,pitchers
4105,Titty City,Ryan Helsley,22651,RP,8,pitchers
4105,Titty City,Gerrit Cole,18116,RP,7,pitchers
4105,Titty City,Robby Snelling,42741,SP,5,pitchers
4105,Titty City,Emmet Sheehan,40552,SP,5,pitchers
4105,Titty City,Phil Maton,22809,RP,3,pitchers
4105,Titty City,Matt Svanson,40308,RP,3,pitchers
4105,Titty City,Brody Hopkins,44639,SP,1,pitchers
4105,Titty City,Dustin May,32611,SP,1,pitchers
4105,Titty City,Edgardo Henriquez,36539,RP,1,pitchers
4105,Titty City,Chad Patrick,40861,SP,1,pitchers
4105,Titty City,Hunter Gaddis,37239,RP,1,pitchers
4304,Busch Banditos,Elly De La Cruz,36338,SS,28,hitters
4304,Busch Banditos,Manny Machado,14934,3B,26,hitters
4304,Busch Banditos,Will Smith,23654,C,22,hitters
4304,Busch Banditos,Kazuma Okamoto,48239,1B/3B,19,hitters
4304,Busch Banditos,Jarren Duran,33685,OF,17,hitters
4304,Busch Banditos,Heliot Ramos,23834,OF,15,hitters
4304,Busch Banditos,Byron Buxton,18163,OF,14,hitters
4304,Busch Banditos,Brendan Donovan,34619,2B/SS/OF,11,hitters
4304,Busch Banditos,Steven Kwan,35824,OF,10,hitters
4304,Busch Banditos,Marcelo Mayer,40095,2B/SS/3B,7,hitters
4304,Busch Banditos,Tyler Soderstrom,38388,1B/OF,7,hitters
4304,Busch Banditos,Jonathan India,33619,2B/3B/OF,4,hitters
4304,Busch Banditos,Tyler O'Neill,19296,OF,4,hitters
4304,Busch Banditos,Konnor Griffin,45769,SS,4,hitters
4304,Busch Banditos,Brett Baty,37181,2B/3B,4,hitters
4304,Busch Banditos,Jesus Made,45064,SS,3,hitters
4304,Busch Banditos,Jose Caballero,26915,2B/SS/3B/OF,3,hitters
4304,Busch Banditos,Ryan Jeffers,33652,C,3,hitters
4304,Busch Banditos,Josh Jung,37786,3B,3,hitters
4304,Busch Banditos,Nolan Schanuel,43932,1B,3,hitters
4304,Busch Banditos,Michael King,31751,SP,22,pitchers
4304,Busch Banditos,Hunter Greene,23824,SP,21,pitchers
4304,Busch Banditos,Edwin Diaz,23601,RP,15,pitchers
4304,Busch Banditos,Corbin Burnes,23813,SP,12,pitchers
4304,Busch Banditos,Bubba Chandler,40564,SP/RP,10,pitchers
4304,Busch Banditos,Shane McClanahan,33647,SP/RP,9,pitchers
4304,Busch Banditos,Carlos Estevez,23613,RP,9,pitchers
4304,Busch Banditos,Nolan McLean,44336,SP,8,pitchers
4304,Busch Banditos,Andrew Abbott,40607,SP,7,pitchers
4304,Busch Banditos,Jack Leiter,40155,SP,7,pitchers
4304,Busch Banditos,Kyle Finnegan,18619,RP,6,pitchers
4304,Busch Banditos,Ryan Walker,35205,RP,5,pitchers
4304,Busch Banditos,Kade Anderson,47553,RP,5,pitchers
4304,Busch Banditos,Luis Severino,18355,SP,4,pitchers
4304,Busch Banditos,Seranthony Dominguez,30196,RP,3,pitchers
4304,Busch Banditos,Cam Schlittler,43589,SP,3,pitchers
4304,Busch Banditos,Carlos Lagrange,41865,SP,3,pitchers
4304,Busch Banditos,Andrew Painter,40829,SP,3,pitchers
4304,Busch Banditos,Joe Musgrove,18462,RP,3,pitchers
4304,Busch Banditos,Kumar Rocker,42110,SP,1,pitchers
4304,Busch Banditos,Jose Berrios,18201,SP,1,pitchers
4058,Cat & Kaboom,Yordan Alvarez,23795,OF,47,hitters
4058,Cat & Kaboom,Ronald Acuña Jr.,23327,OF,45,hitters
4058,Cat & Kaboom,Kyle Tucker,18546,OF,44,hitters
4058,Cat & Kaboom,Pete Alonso,23859,1B,31,hitters
4058,Cat & Kaboom,Isaac Paredes,23831,3B,17,hitters
4058,Cat & Kaboom,Willy Adames,18407,SS,16,hitters
4058,Cat & Kaboom,Luis Robert Jr.,23780,OF,12,hitters
4058,Cat & Kaboom,Shea Langeliers,36669,C,11,hitters
4058,Cat & Kaboom,Marcus Semien,18263,2B,10,hitters
4058,Cat & Kaboom,Jordan Westburg,38398,2B/3B,9,hitters
4058,Cat & Kaboom,Leo De Vries,44539,SS,6,hitters
4058,Cat & Kaboom,Cam Smith,45714,OF,5,hitters
4058,Cat & Kaboom,Christian Walker,18389,1B,5,hitters
4058,Cat & Kaboom,Carson Williams,40266,SS,3,hitters
4058,Cat & Kaboom,Kyle Stowers,37480,OF,3,hitters
4058,Cat & Kaboom,Victor Robles,18516,OF,2,hitters
4058,Cat & Kaboom,Eduardo Quintero,43129,OF,2,hitters
4058,Cat & Kaboom,Masyn Winn,38404,SS,2,hitters
4058,Cat & Kaboom,George Lombard Jr.,44470,SS,1,hitters
4058,Cat & Kaboom,J.P. Crawford,18272,SS,1,hitters
4058,Cat & Kaboom,Josue Briceno,41335,C/1B,1,hitters
4058,Cat & Kaboom,Christopher Morel,26080,OF,1,hitters
4058,Cat & Kaboom,Ronny Mauricio,33640,2B/3B,1,hitters
4058,Cat & Kaboom,Ke'Bryan Hayes,18548,3B,1,hitters
4058,Cat & Kaboom,Logan O'Hoppe,35181,C,1,hitters
4058,Cat & Kaboom,Kyle Isbel,33686,OF,1,hitters
4058,Cat & Kaboom,Max Fried,18164,SP,32,pitchers
4058,Cat & Kaboom,George Kirby,36671,SP,20,pitchers
4058,Cat & Kaboom,Luis Castillo,23732,SP,16,pitchers
4058,Cat & Kaboom,Kodai Senga,42723,SP,11,pitchers
4058,Cat & Kaboom,Devin Williams,19268,RP,10,pitchers
4058,Cat & Kaboom,Gavin Williams,40941,SP,10,pitchers
4058,Cat & Kaboom,Kenley Jansen,2916,RP,7,pitchers
4058,Cat & Kaboom,Dennis Santana,18985,RP,5,pitchers
4058,Cat & Kaboom,Luke Weaver,18380,RP,3,pitchers
4058,Cat & Kaboom,Seth Lugo,23701,SP,3,pitchers
4058,Cat & Kaboom,Edwin Uceta,33395,RP,2,pitchers
4058,Cat & Kaboom,Matt Strahm,23691,RP,1,pitchers
4058,Cat & Kaboom,Alexis Diaz,22926,RP,1,pitchers
4058,Cat & Kaboom,Brady Singer,33620,SP,1,pitchers
4179,Bartolo's Meatballs,Juan Soto,23717,OF,76,hitters
4179,Bartolo's Meatballs,José Ramírez,18284,3B,52,hitters
4179,Bartolo's Meatballs,Trea Turner,18368,SS,44,hitters
4179,Bartolo's Meatballs,Seiya Suzuki,40927,OF,30,hitters
4179,Bartolo's Meatballs,James Wood,40188,OF,22,hitters
4179,Bartolo's Meatballs,Brice Turang,33634,2B,10,hitters
4179,Bartolo's Meatballs,Michael Busch,37841,1B,9,hitters
4179,Bartolo's Meatballs,Lawrence Butler,34788,OF,8,hitters
4179,Bartolo's Meatballs,Colson Montgomery,40262,SS/3B,7,hitters
4179,Bartolo's Meatballs,Brenton Doyle,36803,OF,7,hitters
4179,Bartolo's Meatballs,Ben Rice,40255,C/1B,6,hitters
4179,Bartolo's Meatballs,Travis Bazzana,45709,2B,6,hitters
4179,Bartolo's Meatballs,Kyle Manzardo,40508,1B,6,hitters
4179,Bartolo's Meatballs,Chase DeLauter,42176,OF,4,hitters
4179,Bartolo's Meatballs,Zach McKinstry,33147,SS/3B/OF,4,hitters
4179,Bartolo's Meatballs,Bryce Eldridge,44147,1B,4,hitters
4179,Bartolo's Meatballs,Mark Vientos,26857,3B,3,hitters
4179,Bartolo's Meatballs,Dillon Dingler,38308,C,3,hitters
4179,Bartolo's Meatballs,Nick Castellanos,14914,OF,2,hitters
4179,Bartolo's Meatballs,Chase Meidroth,42304,2B/SS,1,hitters
4179,Bartolo's Meatballs,Mickey Moniak,23639,OF,1,hitters
4179,Bartolo's Meatballs,Nathan Eovaldi,9335,SP,11,pitchers
4179,Bartolo's Meatballs,Nick Pivetta,19398,SP,11,pitchers
4179,Bartolo's Meatballs,Pete Fairbanks,20435,RP,9,pitchers
4179,Bartolo's Meatballs,Brandon Woodruff,23693,SP,8,pitchers
4179,Bartolo's Meatballs,Clay Holmes,23790,SP,8,pitchers
4179,Bartolo's Meatballs,Griffin Jax,31438,RP,8,pitchers
4179,Bartolo's Meatballs,Ryan Pepiot,37649,SP,7,pitchers
4179,Bartolo's Meatballs,Trey Yesavage,45790,SP/RP,7,pitchers
4179,Bartolo's Meatballs,Drew Rasmussen,35922,SP,6,pitchers
4179,Bartolo's Meatballs,Brayan Bello,33767,SP,5,pitchers
4179,Bartolo's Meatballs,Shane Smith,42592,SP,3,pitchers
4179,Bartolo's Meatballs,Tyler Rogers,19904,RP,3,pitchers
4179,Bartolo's Meatballs,Parker Messick,42765,SP,2,pitchers
4179,Bartolo's Meatballs,Andrew Kittredge,27995,RP,1,pitchers
4179,Bartolo's Meatballs,Tanner Scott,21075,RP,1,pitchers
4179,Bartolo's Meatballs,Clayton Beeter,38428,RP,1,pitchers
4179,Bartolo's Meatballs,Reid Detmers,38328,RP,1,pitchers
